"Date,GOP"
"1981.02,1"
"1981.03,1"
"1981.04,1"
"1981.05,1"
"1981.06,1"
"1981.07,1"
"1981.08,1"
"1981.09,1"
"1981.1,1"
"1981.11,1"
"1981.12,1"
"1982.01,1"
"1982.02,1"
"1982.03,1"
"1982.04,1"
"1982.05,1"
"1982.06,1"
"1982.07,1"
"1982.08,1"
"1982.09,1"
"1982.1,1"
"1982.11,1"
"1982.12,1"
"1983.01,1"
"1983.02,1"
"1983.03,1"
"1983.04,1"
"1983.05,1"
"1983.06,1"
"1983.07,1"
"1983.08,1"
"1983.09,1"
"1983.1,1"
"1983.11,1"
"1983.12,1"
"1984.01,1"
"1984.02,1"
"1984.03,1"
"1984.04,1"
"1984.05,1"
"1984.06,1"
"1984.07,1"
"1984.08,1"
"1984.09,1"
"1984.1,1"
"1984.11,1"
"1984.12,1"
"1985.01,1"
"1985.02,1"
"1985.03,1"
"1985.04,1"
"1985.05,1"
"1985.06,1"
"1985.07,1"
"1985.08,1"
"1985.09,1"
"1985.1,1"
"1985.11,1"
"1985.12,1"
"1986.01,1"
"1986.02,1"
"1986.03,1"
"1986.04,1"
"1986.05,1"
"1986.06,1"
"1986.07,1"
"1986.08,1"
"1986.09,1"
"1986.1,1"
"1986.11,1"
"1986.12,1"
"1987.01,1"
"1987.02,1"
"1987.03,1"
"1987.04,1"
"1987.05,1"
"1987.06,1"
"1987.07,1"
"1987.08,1"
"1987.09,1"
"1987.1,1"
"1987.11,1"
"1987.12,1"
"1988.01,1"
"1988.02,1"
"1988.03,1"
"1988.04,1"
"1988.05,1"
"1988.06,1"
"1988.07,1"
"1988.08,1"
"1988.09,1"
"1988.1,1"
"1988.11,1"
"1988.12,1"
"1989.01,1"






































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































